Wavelength_(nm),Sum,Fe_I_(2.2e-02),Fe_II_(4.8e-01),Fe_III_(1.1e-03),W_I_(2.3e-02),W_II_(4.8e-01),W_III_(1.4e-03)
284.3,3598.0,303.4,2428.0,0.0,573.1,293.5,0.0
284.5,3297.0,290.6,2328.0,0.0,437.9,241.2,0.0
284.7,3022.0,273.8,2208.0,0.0,321.4,218.9,0.001
284.9,2788.0,252.4,2084.0,0.0,227.5,224.0,0.001
285.1,2599.0,226.7,1965.0,0.0,156.8,250.8,0.002
285.3,2450.0,197.5,1854.0,0.0,107.6,291.3,0.005
285.5,2331.0,166.3,1751.0,0.0,77.07,336.7,0.009
285.7,2230.0,134.9,1654.0,0.0,62.39,378.1,0.015
285.9,2139.0,105.1,1565.0,0.0,61.08,408.2,0.025
286.1,2056.0,78.55,1485.0,0.0,71.08,421.6,0.039
286.3,1982.0,56.22,1419.0,0.0,90.68,415.9,0.058
286.6,1895.0,31.62,1355.0,0.0,134.3,373.6,0.094
286.8,1856.0,20.94,1337.0,0.0,170.2,328.2,0.121
287.0,1829.0,14.28,1331.0,0.0,209.2,275.2,0.147
287.2,1809.0,11.1,1328.0,0.0,249.9,220.3,0.17
287.4,1790.0,10.92,1318.0,0.0,292.2,168.3,0.185
287.6,1767.0,13.45,1293.0,0.0,337.6,122.8,0.191
287.8,1741.0,18.55,1247.0,0.0,390.0,85.64,0.188
288.0,1719.0,26.18,1180.0,0.0,455.0,57.51,0.177
288.2,1710.0,36.27,1097.0,0.0,538.3,38.08,0.161
288.4,1723.0,48.58,1004.0,0.0,643.3,26.72,0.146
288.6,1761.0,62.67,906.8,0.0,768.8,22.98,0.136
288.8,1824.0,77.84,811.3,0.0,907.2,27.13,0.136
289.1,1937.0,100.5,678.1,0.0,1107.0,51.03,0.16
289.3,2001.0,114.3,597.0,0.0,1208.0,82.24,0.193
289.5,2039.0,126.0,521.4,0.0,1262.0,129.2,0.235
289.7,2041.0,135.5,450.2,0.0,1260.0,194.9,0.282
289.9,2009.0,143.3,383.3,0.0,1201.0,281.0,0.327
290.1,1952.0,150.2,321.9,0.0,1092.0,387.3,0.362
290.3,1888.0,158.1,268.7,0.0,950.0,511.0,0.381
290.5,1836.0,168.9,227.6,0.0,793.5,645.9,0.38
290.7,1812.0,184.6,203.3,0.0,640.4,783.2,0.36
290.9,1824.0,206.5,200.4,0.0,504.1,912.2,0.322
291.1,1872.0,235.2,222.5,0.0,392.7,1021.0,0.274
291.3,1951.0,270.4,271.4,0.0,308.7,1100.0,0.22
291.6,2099.0,331.2,391.8,0.0,232.1,1143.0,0.143
291.8,2199.0,373.2,496.0,0.0,210.4,1119.0,0.1
292.0,2287.0,413.0,609.2,0.0,210.3,1055.0,0.067
292.2,2361.0,448.1,720.4,0.0,232.2,960.5,0.042
292.4,2424.0,476.9,820.0,0.0,278.8,848.3,0.025
292.6,2487.0,498.7,901.6,0.0,354.6,732.5,0.014
292.8,2570.0,514.2,964.8,0.0,464.9,626.0,0.007
293.0,2693.0,524.8,1016.0,0.0,613.7,538.0,0.004
293.2,2874.0,532.6,1067.0,0.0,801.6,472.9,0.002
293.4,3124.0,539.9,1131.0,0.0,1024.0,429.4,0.001
293.6,3437.0,549.1,1218.0,0.0,1267.0,402.5,0.0
293.8,3792.0,562.4,1333.0,0.0,1511.0,385.2,0.0
294.1,4322.0,593.4,1543.0,0.0,1821.0,363.2,0.0
294.3,4606.0,622.7,1685.0,0.0,1952.0,346.5,0.0
294.5,4786.0,659.1,1802.0,0.0,1996.0,328.3,0.0
294.7,4835.0,702.4,1874.0,0.0,1947.0,312.2,0.0
294.9,4748.0,752.3,1885.0,0.0,1809.0,302.6,0.0
295.1,4541.0,809.0,1828.0,0.0,1600.0,303.9,0.0
295.3,4248.0,873.1,1710.0,0.0,1346.0,319.2,0.0
295.5,3915.0,945.5,1543.0,0.0,1078.0,349.7,0.0
295.7,3590.0,1026.0,1348.0,0.0,820.1,395.2,0.0
295.9,3312.0,1114.0,1151.0,0.0,593.4,454.3,0.0
296.1,3114.0,1204.0,976.0,0.0,408.3,525.3,0.0
296.3,3010.0,1291.0,845.9,0.0,267.5,605.7,0.0
296.6,3041.0,1398.0,775.1,0.0,130.7,736.7,0.0
296.8,3176.0,1443.0,830.6,0.0,78.52,824.0,0.0
297.0,3390.0,1461.0,976.4,0.0,48.33,903.6,0.0
297.2,3665.0,1453.0,1211.0,0.0,33.48,968.1,0.0
297.4,3985.0,1422.0,1522.0,0.0,28.87,1011.0,0.0
297.6,4323.0,1377.0,1887.0,0.0,30.93,1028.0,0.0
297.8,4651.0,1325.0,2270.0,0.0,37.22,1018.0,
298.0,4935.0,1277.0,2628.0,0.0,45.97,985.1,
298.2,5142.0,1238.0,2915.0,0.0,55.8,933.8,
298.4,5246.0,1213.0,3096.0,0.0,65.47,871.9,
298.6,5234.0,1204.0,3149.0,0.0,73.94,806.3,
298.8,5109.0,1210.0,3076.0,0.0,80.52,742.4,
299.1,4759.0,1240.0,2776.0,0.0,86.72,656.6,
299.3,4466.0,1268.0,2502.0,0.0,89.64,607.2,
299.5,4167.0,1297.0,2213.0,0.0,93.68,563.4,
299.7,3891.0,1328.0,1937.0,0.0,101.5,525.1,
299.9,3661.0,1361.0,1691.0,0.0,115.8,493.4,
300.1,3492.0,1403.0,1478.0,0.0,139.3,472.2,
300.3,3394.0,1464.0,1289.0,0.0,173.4,467.8,
300.5,3379.0,1555.0,1117.0,0.0,217.9,488.9,
300.7,3454.0,1686.0,953.2,0.0,270.7,544.2,
300.9,3624.0,1863.0,793.4,0.001,327.5,641.0,
301.1,3884.0,2080.0,639.5,0.001,382.4,781.4,
301.3,4210.0,2324.0,496.3,0.001,429.2,960.7,
301.6,4737.0,2680.0,313.6,0.001,471.5,1272.0,
301.8,5035.0,2863.0,218.7,0.0,476.0,1477.0,
302.0,5225.0,2968.0,146.4,0.0,461.0,1650.0,
302.2,5265.0,2974.0,94.9,0.0,429.0,1768.0,
302.4,5136.0,2875.0,60.83,0.0,384.7,1815.0,
302.6,4844.0,2683.0,40.22,0.0,334.0,1787.0,
302.8,4420.0,2421.0,29.25,0.0,283.0,1686.0,
303.0,3913.0,2123.0,24.74,0.0,237.4,1528.0,
303.2,3377.0,1821.0,24.26,0.0,201.2,1331.0,0.0
303.4,2864.0,1543.0,26.2,0.0,177.1,1118.0,0.0
303.6,2410.0,1309.0,29.59,0.0,165.9,905.3,0.0
303.8,2038.0,1129.0,34.0,0.0,166.4,708.7,0.0
304.1,1650.0,961.8,42.47,0.0,183.4,461.9,0.0
304.3,1492.0,908.8,49.71,0.0,199.8,334.2,0.0
304.5,1400.0,890.8,58.63,0.0,215.3,235.5,0.0
304.7,1355.0,896.6,69.52,0.0,225.9,163.0,0.0
304.9,1340.0,915.4,82.52,0.0,228.9,113.4,0.0
305.1,1342.0,937.6,97.54,0.0,222.8,83.55,0.0
305.3,1348.0,955.2,114.2,0.0,208.1,70.43,0.0
305.5,1352.0,962.0,132.1,0.0,186.5,71.76,0.0
305.7,1351.0,954.0,150.6,0.0,160.4,85.64,0.0
305.9,1342.0,929.6,169.3,0.0,132.8,110.3,0.0
306.1,1327.0,889.0,187.8,0.0,106.2,143.8,0.0
306.3,1307.0,834.7,206.0,0.0,82.58,183.6,0.0
306.6,1272.0,736.0,232.6,0.0,54.8,248.8,0.0
306.8,1248.0,665.3,249.2,0.0,41.76,291.4,0.0
307.0,1222.0,595.5,263.8,0.0,32.8,330.2,0.0
307.2,1196.0,530.2,274.8,0.0,27.49,363.6,0.0
307.4,1169.0,471.5,280.2,0.0,25.38,391.5,0.0
307.6,1140.0,420.9,278.3,0.0,26.1,414.7,0.0
307.8,1111.0,378.9,268.0,0.0,29.32,434.7,0.001
308.0,1083.0,346.0,249.1,0.0,34.73,453.0,0.001
308.2,1057.0,322.1,222.7,0.0,41.95,469.9,0.002
308.4,1034.0,307.2,191.1,0.0,50.48,484.9,0.005
308.6,1014.0,301.0,157.1,0.0,59.73,496.2,0.008
308.9,987.4,306.0,107.7,0.0,73.49,500.2,0.02
309.1,967.8,316.2,79.12,,81.71,490.8,0.032
309.3,942.4,328.5,55.48,,88.62,469.8,0.051
309.5,907.8,339.2,37.12,,94.01,437.3,0.076
309.7,861.3,344.9,23.7,,97.88,394.7,0.109
309.9,801.9,342.3,14.43,,100.4,344.7,0.149
310.1,730.7,329.8,8.379,,101.8,290.6,0.193
310.3,650.6,307.2,4.639,,102.3,236.2,0.239
310.5,565.7,276.2,2.449,,102.0,184.8,0.282
310.7,481.3,239.7,1.233,,101.0,139.0,0.318
310.9,401.9,201.2,0.594,,99.31,100.4,0.342
311.1,331.4,164.4,0.276,,96.77,69.65,0.35
311.4,246.9,118.0,0.101,,91.16,37.37,0.332
311.6,205.3,95.02,0.091,,86.1,23.83,0.302
311.8,174.5,78.68,0.153,,79.92,15.46,0.261
312.0,152.9,68.26,0.32,,72.68,11.45,0.216
312.2,139.5,62.61,0.68,,64.53,11.48,0.17
312.4,133.6,60.49,1.39,,55.74,15.86,0.128
312.6,136.0,60.82,2.72,,46.68,25.71,0.092
312.8,148.7,62.81,5.083,,37.79,42.93,0.063
313.0,174.7,65.99,9.074,,29.49,70.12,0.041
313.2,218.2,70.17,15.47,,22.14,110.4,0.025
313.4,283.2,75.38,25.2,,15.95,166.7,0.015
313.6,373.4,81.74,39.23,,11.02,241.4,0.008
313.9,559.4,93.76,70.01,,5.833,389.8,0.003
314.1,715.2,103.6,97.43,,3.619,510.6,0.002
314.3,890.6,114.8,129.8,,2.166,643.8,0.001
314.5,1077.0,127.4,165.7,,1.282,782.7,0.0
314.7,1264.0,140.8,202.9,,0.812,919.4,0.0
314.9,1440.0,154.5,238.8,,0.654,1046.0,0.0
315.1,1595.0,167.7,270.9,,0.764,1156.0,0.0
315.3,1723.0,179.6,297.1,,1.151,1245.0,0.0
315.5,1821.0,189.4,316.3,,1.874,1313.0,0.0
315.7,1894.0,196.6,328.6,,3.032,1365.0,0.0
315.9,1950.0,201.3,335.2,,4.75,1409.0,0.0
316.1,2002.0,204.0,337.6,,7.155,1453.0,0.0
316.4,2099.0,206.4,337.4,,12.28,1543.0,0.0
316.6,2191.0,208.9,336.4,,16.77,1629.0,0.0
316.8,2306.0,213.5,335.0,,22.07,1736.0,0.0
317.0,2439.0,221.1,332.5,,28.08,1857.0,0.0
317.2,2574.0,231.9,327.6,,34.65,1980.0,0.0
317.4,2694.0,245.8,318.9,,41.61,2088.0,0.0
317.6,2780.0,262.2,305.0,,48.88,2164.0,0.0
317.8,2817.0,280.6,285.4,,56.48,2194.0,0.0
318.0,2796.0,300.4,260.1,,64.57,2170.0,0.0
318.2,2716.0,321.6,230.0,,73.46,2091.0,0.0
318.4,2587.0,343.9,197.0,,83.56,1962.0,0.0
318.6,2419.0,367.5,162.9,,95.36,1793.0,0.0
318.9,2130.0,405.4,114.3,,117.3,1493.0,0.0
319.1,1937.0,432.5,86.19,,135.4,1283.0,
319.3,1760.0,461.4,62.8,,156.8,1079.0,
319.5,1611.0,492.7,44.74,,181.7,891.8,
319.7,1500.0,527.8,32.21,,210.5,730.0,
319.9,1436.0,568.4,25.34,,242.9,599.4,
320.1,1423.0,616.5,24.43,,278.8,503.0,
320.3,1462.0,673.6,30.22,,317.1,440.9,
320.5,1550.0,740.5,44.02,,356.2,409.8,
320.7,1681.0,816.5,67.67,,393.6,403.7,
320.9,1843.0,899.3,103.3,,426.3,414.3,
321.1,2021.0,984.8,152.8,,451.0,432.3,
321.4,2282.0,1106.0,254.9,,467.0,453.6,
321.6,2429.0,1174.0,339.7,,461.1,453.9,
321.8,2538.0,1224.0,433.2,,441.8,438.8,
322.0,2599.0,1252.0,528.6,,410.7,407.8,
322.2,2607.0,1255.0,617.2,,370.9,363.5,
322.4,2558.0,1232.0,689.4,,326.2,310.4,
322.6,2454.0,1183.0,737.0,,280.2,253.8,
322.8,2300.0,1112.0,753.9,,236.3,198.5,
323.0,2107.0,1023.0,738.2,,196.8,148.5,
323.2,1885.0,923.5,692.4,,162.6,106.3,
323.4,1648.0,818.9,622.7,,134.0,72.79,
323.6,1412.0,715.6,538.0,,110.4,47.66,
323.9,1084.0,573.3,404.7,,82.67,23.23,
324.1,897.6,491.3,324.6,,68.06,13.61,
324.3,743.4,421.2,258.6,,55.92,7.63,
324.5,622.8,362.8,209.9,,45.93,4.099,
324.7,533.8,315.0,178.7,,37.92,2.126,
324.9,471.9,276.4,162.7,,31.77,1.1,
325.1,431.5,245.3,158.2,,27.29,0.644,
325.3,406.4,220.7,160.9,,24.22,0.56,0.0
325.5,390.6,201.4,166.2,,22.18,0.788,0.0
325.7,379.4,186.9,170.3,,20.78,1.386,0.0
325.9,369.3,176.7,170.4,,19.63,2.52,0.0
326.1,358.4,170.5,165.0,,18.43,4.468,0.0
326.4,340.2,168.1,146.2,,16.18,9.804,0.0
326.6,328.7,170.6,128.1,,14.38,15.72,0.0
326.8,320.3,176.1,107.6,,12.48,24.19,0.0
327.0,317.3,184.3,86.54,,10.71,35.71,0.0
327.2,321.7,195.0,66.69,,9.368,50.63,0.0
327.4,334.9,207.9,49.21,,8.803,68.98,0.0
327.6,357.0,222.4,34.78,,9.401,90.39,0.0
327.8,387.3,238.1,23.53,,11.59,114.1,0.0
328.0,424.0,254.1,15.25,,15.85,138.9,0.0
328.2,464.9,269.4,9.462,,22.64,163.4,0.0
328.4,507.4,283.2,5.622,,32.38,186.2,0.0
328.6,549.7,294.9,3.198,,45.29,206.2,0.0
328.9,609.4,308.4,1.265,,70.5,229.3,0.0
329.1,645.7,315.1,0.646,,90.47,239.4,0.0
329.3,678.5,321.0,0.316,,111.8,245.3,0.0
329.5,707.0,326.7,0.148,,133.2,247.0,0.0
329.7,730.0,332.5,0.066,,152.9,244.5,0.0
329.9,745.3,338.2,0.028,,169.4,237.7,0.0
330.1,750.8,342.8,0.012,,181.5,226.4,0.0
330.3,744.1,345.1,0.005,,188.0,211.1,0.0
330.5,724.1,343.3,0.002,,188.7,192.1,0.001
330.7,690.9,336.4,0.001,,183.8,170.7,0.001
330.9,646.4,323.6,0.0,,173.9,148.9,0.002
331.1,594.3,305.2,0.0,,160.1,129.0,0.004
331.4,513.9,269.1,0.0,,134.7,110.1,0.008
331.6,468.8,241.7,0.0,,116.5,110.6,0.013
331.8,439.2,213.6,0.0,,98.48,127.1,0.02
332.0,432.9,186.2,0.0,,81.55,165.1,0.029
332.2,457.0,160.6,0.0,,66.36,230.0,0.04
332.4,517.9,137.4,0.0,,53.39,327.0,0.053
332.6,619.3,116.6,0.0,,42.88,459.8,0.068
332.8,762.0,98.27,0.0,,34.95,628.7,0.084
333.0,942.1,82.18,0.0,,29.54,830.3,0.099
333.2,1150.0,68.18,0.0,,26.45,1055.0,0.112
333.4,1371.0,56.21,0.0,,25.34,1290.0,0.122
333.6,1587.0,46.28,0.0,,25.78,1515.0,0.127
333.9,1854.0,35.36,0.0,,28.17,1791.0,0.125
334.1,1969.0,30.82,0.0,,30.11,1908.0,0.117
334.3,2018.0,28.48,,,31.7,1958.0,0.106
334.5,2000.0,28.27,,,32.55,1940.0,0.092
334.7,1922.0,30.07,,,32.44,1859.0,0.076
334.9,1796.0,33.7,,,31.3,1731.0,0.06
335.1,1643.0,39.01,,,29.26,1574.0,0.046
335.3,1482.0,45.84,,,26.59,1409.0,0.034
335.5,1331.0,54.05,,,23.64,1254.0,0.024
335.7,1206.0,63.42,,,20.72,1122.0,0.016
335.9,1113.0,73.67,,,18.13,1021.0,0.01
336.2,1039.0,89.71,,,15.17,934.3,0.005
336.4,1027.0,99.96,,,13.84,913.6,0.003
336.6,1037.0,109.0,,,12.93,914.6,0.002
336.8,1057.0,116.2,,,12.26,928.1,0.001
337.0,1077.0,121.1,,,11.67,944.6,0.0
337.2,1089.0,123.5,,,11.02,954.9,0.0
337.4,1086.0,123.7,,,10.21,952.1,0.0
337.6,1064.0,122.5,,,9.216,931.9,0.0
337.8,1023.0,121.1,,,8.075,893.4,0.0
338.0,967.2,120.8,,,6.857,839.5,0.0
338.2,905.2,123.4,,,5.66,776.1,0.0
338.4,845.9,130.1,,,4.587,711.1,0.0
338.7,782.3,150.9,,,3.405,628.1,0.0
338.9,766.9,172.7,,,3.009,591.3,0.0
339.1,776.4,200.9,,,2.991,572.5,0.0
339.3,808.6,235.0,,,3.386,570.2,0.0
339.5,857.7,273.7,,,4.211,579.8,0.0
339.7,914.8,315.1,,,5.46,594.3,0.0
339.9,969.9,357.1,,,7.095,605.7,0.0
340.1,1014.0,397.5,,,9.035,607.0,0.0
340.3,1039.0,434.2,,,11.16,593.3,0.0
340.5,1041.0,465.5,,,13.29,562.5,0.0
340.7,1022.0,490.7,,,15.25,515.5,0.0
340.9,982.6,509.8,,,16.83,455.9,0.0
341.2,901.7,529.0,,,18.15,354.5,0.0
341.4,843.4,537.9,,,18.18,287.3,0.0
341.6,790.1,546.1,,,17.54,226.5,0.0
341.8,747.6,555.4,,,16.33,175.9,0.0
342.0,720.0,567.5,,,14.72,137.8,0.0
342.2,709.9,583.9,,,12.94,113.1,
342.4,718.0,605.1,,,11.23,101.7,
342.6,743.9,631.5,,,9.846,102.6,
342.8,785.7,662.3,,,8.978,114.4,
343.0,840.2,696.0,,,8.777,135.4,
343.2,903.0,730.3,,,9.322,163.4,
343.4,968.8,761.8,,,10.62,196.3,
343.7,1059.0,794.9,,,13.79,250.4,
343.9,1105.0,801.8,,,16.48,286.6,
344.1,1133.0,792.8,,,19.36,321.3,
344.3,1142.0,766.7,,,22.17,353.5,
344.5,1132.0,724.3,,,24.65,382.7,
344.7,1104.0,668.5,,,26.59,409.4,
344.9,1065.0,603.9,,,27.84,433.7,
345.1,1021.0,536.2,,,28.38,456.3,
345.3,976.3,471.0,,,28.25,477.1,
345.5,936.6,413.4,,,27.57,495.7,
345.7,904.3,366.8,,,26.51,511.0,
345.9,879.9,333.1,,,25.22,521.6,
346.2,855.3,306.2,,,23.11,526.0,
346.4,843.6,301.4,,,21.66,520.6,
346.6,833.6,304.0,,,20.18,509.5,
346.8,824.5,310.8,,,18.61,495.1,
347.0,816.9,319.1,,,16.93,480.9,
347.2,812.4,326.5,,,15.12,470.8,
347.4,813.2,331.5,,,13.21,468.5,
347.6,821.2,333.6,,,11.26,476.3,
347.8,837.1,332.8,,,9.343,495.0,
348.0,859.9,329.5,,,7.572,522.8,
348.2,886.9,324.5,,,6.04,556.4,
348.4,914.1,318.3,,,4.828,591.0,
348.7,944.3,307.4,,,3.747,633.1,
348.9,951.0,299.1,,,3.577,648.4,
349.1,943.7,289.5,,,3.88,650.3,
349.3,922.0,278.6,,,4.671,638.7,
349.5,887.5,266.4,,,5.961,615.2,
349.7,843.9,253.5,,,7.752,582.7,
349.9,795.9,241.0,,,10.04,544.8,
350.1,748.5,230.5,,,12.8,505.2,
350.3,706.5,224.0,,,16.01,466.5,
350.5,673.6,223.3,,,19.63,430.7,
350.7,652.6,230.3,,,23.61,398.6,
350.9,644.9,246.4,,,27.89,370.6,
351.2,660.0,289.2,,,34.75,336.0,
351.4,687.7,330.1,,,39.5,318.0,
351.6,728.6,380.1,,,44.31,304.3,
351.8,781.7,437.6,,,49.1,295.0,
352.0,844.8,500.7,,,53.79,290.3,
352.2,915.7,567.1,,,58.29,290.2,
352.4,991.4,634.6,,,62.53,294.3,
352.6,1069.0,700.7,,,66.45,301.9,
352.8,1146.0,763.5,,,69.97,312.6,
353.0,1221.0,821.7,,,73.0,326.1,
353.2,1292.0,874.4,,,75.42,342.6,
353.4,1361.0,921.8,,,77.1,362.5,
353.7,1464.0,985.4,,,77.86,400.5,
353.9,1535.0,1026.0,,,76.96,431.8,
354.1,1612.0,1069.0,,,74.79,467.8,
354.3,1698.0,1119.0,,,71.33,507.7,
354.5,1795.0,1178.0,,,66.64,550.0,
354.7,1906.0,1252.0,,,60.92,593.2,
354.9,2033.0,1343.0,,,54.49,635.9,
355.1,2179.0,1454.0,,,47.73,677.6,
355.3,2345.0,1585.0,,,41.08,718.6,
355.5,2532.0,1737.0,,,34.97,759.9,
355.7,2740.0,1908.0,,,29.76,803.0,
355.9,2969.0,2095.0,,,25.7,849.0,
356.2,3343.0,2397.0,,,22.02,923.3,
356.4,3602.0,2606.0,,,21.08,974.1,
356.6,3857.0,2813.0,,,21.13,1022.0,
356.8,4096.0,3010.0,,,21.86,1064.0,
357.0,4306.0,3189.0,,,22.91,1095.0,
357.2,4475.0,3338.0,,,23.96,1113.0,
357.4,4590.0,3448.0,0.0,,24.69,1118.0,
357.6,4644.0,3509.0,0.0,,24.93,1111.0,
357.8,4632.0,3513.0,0.0,,24.59,1094.0,
358.0,4554.0,3457.0,0.0,,23.74,1073.0,
358.2,4415.0,3341.0,0.0,,22.6,1051.0,
358.4,4223.0,3173.0,0.0,,21.47,1029.0,
358.7,3870.0,2850.0,0.0,,20.79,999.8,
358.9,3617.0,2613.0,0.0,,21.75,982.0,
359.1,3370.0,2382.0,0.0,,24.5,964.1,
359.3,3150.0,2175.0,0.0,,29.61,945.3,
359.5,2971.0,2007.0,0.0,,37.62,926.0,
359.7,2845.0,1888.0,0.0,,49.0,907.6,
359.9,2776.0,1820.0,0.0,,64.04,892.2,
360.1,2764.0,1799.0,0.0,,82.82,881.9,
360.3,2801.0,1818.0,0.0,,105.1,878.0,
360.5,2875.0,1865.0,0.0,,130.0,880.1,
360.7,2970.0,1927.0,0.0,,156.6,885.9,
361.0,3111.0,2022.0,0.0,,196.0,893.2,
361.2,3183.0,2073.0,0.0,,219.0,891.2,
361.4,3223.0,2106.0,0.0,,237.4,879.8,
361.6,3227.0,2119.0,0.0,,249.3,858.5,
361.8,3193.0,2111.0,0.0,,253.7,829.0,
362.0,3129.0,2083.0,0.0,,250.3,796.1,
362.2,3043.0,2037.0,0.0,,239.4,766.1,
362.4,2947.0,1978.0,0.0,,222.2,746.4,
362.6,2853.0,1909.0,0.001,,200.1,743.7,
362.8,2770.0,1832.0,0.001,,175.1,762.5,
363.0,2706.0,1752.0,0.002,,149.0,804.7,
363.2,2664.0,1672.0,0.004,,123.5,868.6,
363.5,2638.0,1555.0,0.009,,88.98,994.2,
363.7,2638.0,1482.0,0.015,,69.6,1087.0,
363.9,2641.0,1412.0,0.025,,53.47,1176.0,
364.1,2639.0,1346.0,0.04,,40.59,1253.0,
364.3,2623.0,1280.0,0.062,,30.74,1312.0,
364.5,2585.0,1213.0,0.092,,23.66,1348.0,
364.7,2520.0,1142.0,0.132,,19.03,1359.0,
364.9,2426.0,1065.0,0.182,,16.59,1344.0,
365.1,2304.0,982.5,0.244,,16.09,1305.0,
365.3,2157.0,894.8,0.315,,17.34,1244.0,
365.5,1991.0,804.9,0.394,,20.15,1166.0,
365.7,1814.0,716.5,0.475,,24.34,1072.0,
366.0,1544.0,596.9,0.592,,32.77,913.4,
366.2,1373.0,532.3,0.656,,39.43,800.5,
366.4,1218.0,483.8,0.702,,46.59,686.6,
366.6,1084.0,453.5,0.727,,53.87,575.5,
366.8,974.2,442.0,0.727,,60.9,470.6,
367.0,891.3,448.3,0.702,,67.31,374.9,
367.2,834.4,470.3,0.656,,72.73,290.7,
367.4,801.4,504.8,0.592,,76.88,219.1,
367.6,788.5,548.0,0.516,,79.57,160.5,
367.8,791.3,595.9,0.435,,80.72,114.3,
368.0,804.9,644.7,0.354,,80.43,79.4,
368.2,824.8,691.2,0.278,,78.92,54.4,
368.5,858.7,751.2,0.182,,75.3,32.06,
368.7,881.2,783.0,0.132,,72.72,25.36,
368.9,903.3,808.4,0.092,,70.66,24.14,
369.1,926.1,828.5,0.062,,69.63,27.89,
369.3,952.1,845.6,0.04,,69.99,36.47,
369.5,984.3,862.3,0.025,,71.96,49.96,
369.7,1026.0,882.0,0.015,,75.51,68.51,
369.9,1080.0,907.8,0.009,,80.42,92.18,
370.1,1150.0,943.0,0.005,,86.33,120.8,
370.3,1237.0,990.6,0.003,,92.77,153.6,
370.5,1342.0,1053.0,0.002,,99.27,189.8,
370.7,1466.0,1133.0,0.001,,105.4,227.7,
371.0,1687.0,1290.0,0.0,,113.2,284.4,
371.2,1857.0,1420.0,0.0,,117.2,319.6,
371.4,2045.0,1574.0,0.0,,120.1,351.5,
371.6,2251.0,1750.0,0.0,,122.0,379.2,
371.8,2473.0,1947.0,0.0,,122.8,402.8,
372.0,2710.0,2165.0,0.0,,122.6,422.8,
372.2,2959.0,2399.0,0.0,,121.2,439.7,
372.4,3216.0,2643.0,0.0,,118.7,454.2,
372.6,3472.0,2890.0,0.0,,115.0,466.5,
372.8,3719.0,3133.0,0.0,,110.3,476.1,
373.0,3946.0,3360.0,0.0,,104.6,481.9,
373.2,4143.0,3562.0,0.0,,98.37,482.4,
373.5,4358.0,3800.0,0.0,,88.67,469.8,
373.7,4439.0,3905.0,0.0,,82.7,450.8,
373.9,4466.0,3965.0,0.0,,77.73,423.0,
374.1,4440.0,3978.0,0.0,,74.28,387.2,
374.3,4366.0,3948.0,0.0,,72.78,344.9,
374.5,4250.0,3878.0,0.0,,73.59,298.7,
374.7,4101.0,3773.0,0.0,,76.9,251.1,
374.9,3927.0,3640.0,0.0,,82.71,204.7,
375.1,3735.0,3483.0,0.0,,90.85,161.7,
375.3,3532.0,3307.0,0.0,,100.9,123.8,
375.5,3321.0,3117.0,0.0,,112.4,91.75,
375.7,3105.0,2914.0,0.0,,124.5,65.85,
376.0,2772.0,2592.0,0.0,,142.2,37.66,
376.2,2546.0,2369.0,,,152.6,24.91,
376.4,2318.0,2141.0,,,161.1,15.94,
376.6,2089.0,1913.0,,,167.1,9.876,
376.8,1864.0,1688.0,,,170.4,5.919,
377.0,1646.0,1471.0,,,170.8,3.433,
377.2,1439.0,1269.0,,,168.3,1.926,
377.4,1251.0,1087.0,,,163.2,1.046,
377.6,1084.0,928.1,,,155.8,0.549,
377.8,944.5,797.8,,,146.4,0.279,
378.0,833.6,697.9,,,135.6,0.137,
378.2,753.1,629.2,,,123.8,0.065,
378.5,688.7,583.0,,,105.7,0.02,
378.7,681.5,587.2,,,94.29,0.009,
378.9,701.1,616.9,,,84.24,0.004,
379.1,745.9,669.7,,,76.18,0.002,
379.3,814.9,744.3,,,70.64,0.001,
379.5,908.0,840.0,,,68.04,0.001,
379.7,1026.0,957.0,,,68.57,0.002,
379.9,1169.0,1096.0,,,72.22,0.005,
380.1,1338.0,1259.0,,,78.69,0.012,
380.3,1532.0,1445.0,,,87.47,0.025,
380.5,1751.0,1653.0,,,97.86,0.053,
380.7,1989.0,1880.0,,,109.0,0.108,
381.0,2367.0,2241.0,,,125.5,0.297,
381.2,2618.0,2482.0,,,135.1,0.562,
381.4,2855.0,2710.0,,,143.2,1.03,
381.6,3064.0,2913.0,,,149.3,1.83,
381.8,3235.0,3078.0,,,153.5,3.151,
382.0,3358.0,3196.0,,,156.0,5.261,
382.2,3427.0,3261.0,,,157.3,8.514,
382.4,3441.0,3270.0,,,157.8,13.36,
382.6,3403.0,3225.0,,,157.9,20.32,
382.8,3318.0,3130.0,,,158.0,29.96,
383.0,3196.0,2995.0,,,158.2,42.82,
383.2,3046.0,2828.0,,,158.6,59.33,
383.5,2793.0,2542.0,,,159.5,91.3,
383.7,2619.0,2342.0,,,160.3,117.1,
383.9,2450.0,2144.0,,,161.2,145.5,
384.1,2292.0,1954.0,,,162.4,175.3,
384.3,2147.0,1778.0,,,164.1,204.7,
384.5,2017.0,1618.0,,,166.8,231.8,
384.7,1902.0,1477.0,,,170.8,254.5,
384.9,1802.0,1354.0,,,176.7,270.8,
385.1,1714.0,1250.0,,,184.5,279.3,
385.3,1635.0,1162.0,,,194.3,279.3,
385.5,1565.0,1088.0,,0.0,206.0,270.8,
385.7,1500.0,1026.0,,0.0,219.1,254.5,
